node_id,node_type,base_state,state,base_time,current_time,station_cap,robot_capability,available,capacity,is_executable
P0,part,normal,normal,,,,,,,
A1,subassembly,normal,normal,,,,,,,
A2,subassembly,normal,normal,,,,,,,
A3,subassembly,normal,normal,,,,,,,
A4,subassembly,normal,normal,,,,,,,
A5,subassembly,normal,normal,,,,,,,
B1,operation,normal,normal,5.8,5.8,,,,,1
B2,operation,normal,normal,6.45,6.45,,,,,1
B3,operation,normal,normal,7.1,7.1,,,,,1
B4,operation,normal,normal,7.75,7.75,,,,,1
B5,operation,normal,normal,8.4,8.4,,,,,1
B6,operation,normal,normal,9.05,9.05,,,,,1
B7,operation,normal,normal,9.7,9.7,,,,,1
B8,operation,normal,normal,10.35,10.35,,,,,1
B9,operation,normal,normal,11.0,11.0,,,,,1
B10,operation,normal,normal,11.65,11.65,,,,,1
B11,operation,normal,normal,12.3,12.3,,,,,1
B12,operation,normal,normal,12.95,12.95,,,,,1
B13,operation,normal,normal,13.6,13.6,,,,,1
B14,operation,normal,normal,14.25,14.25,,,,,1
B15,operation,normal,normal,14.9,14.9,,,,,1
r1,robot,,,,,,general,1,,
r2,robot,,,,,,precision,1,,
r3,robot,,,,,,heavy,1,,
r4,robot,,,,,,micro,1,,
r5,robot,,,,,,thermal,1,,
r6,robot,,,,,,vision,1,,
s1,station,,,,,3,,,3,
s2,station,,,,,3,,,3,
s3,station,,,,,3,,,3,
