node_id,node_type,base_state,state,base_time,current_time,station_cap,robot_capability,available,capacity,is_executable
P0,part,normal,normal,,,,,,,
A1,subassembly,normal,normal,,,,,,,
A2,subassembly,normal,normal,,,,,,,
B1,operation,normal,normal,5.3,5.3,,,,,1
B2,operation,normal,normal,5.95,5.95,,,,,1
B3,operation,normal,normal,6.6,6.6,,,,,1
B4,operation,normal,normal,7.25,7.25,,,,,1
B5,operation,normal,normal,7.9,7.9,,,,,1
B6,operation,normal,normal,8.55,8.55,,,,,1
r1,robot,,,,,,general,1,,
r2,robot,,,,,,precision,1,,
r3,robot,,,,,,heavy,1,,
s1,station,,,,,2,,,2,
s2,station,,,,,2,,,2,
