src_id,dst_id,edge_type,active,weight
P0,B1,and_produce,1,1.0
P0,B2,and_produce,1,1.0
A1,B3,or_choice,1,0.5
A1,B4,or_choice,1,0.5
A2,B5,or_choice,1,0.5
A2,B6,or_choice,1,0.5
A3,B7,or_choice,1,0.5
A3,B8,or_choice,1,0.5
A4,B9,or_choice,1,0.5
A4,B10,or_choice,1,0.5
B1,B2,precede,1,1.0
B2,B3,precede,1,1.0
B2,B4,precede,1,1.0
B2,B5,precede,1,1.0
B2,B6,precede,1,1.0
B1,B5,precede,1,1.0
B1,B6,precede,1,1.0
B2,B7,precede,1,1.0
B2,B8,precede,1,1.0
B2,B9,precede,1,1.0
B2,B10,precede,1,1.0
B1,B9,precede,1,1.0
B1,B10,precede,1,1.0
B1,r1,capable_of,1,1.0
B1,r2,capable_of,1,1.0
B1,r3,capable_of,1,1.0
B2,r1,capable_of,1,1.0
B2,r2,capable_of,1,1.0
B2,r3,capable_of,1,1.0
B3,r1,capable_of,1,1.0
B3,r2,capable_of,1,1.0
B3,r3,capable_of,1,1.0
B4,r1,capable_of,1,1.0
B4,r2,capable_of,1,1.0
B4,r3,capable_of,1,1.0
B5,r1,capable_of,1,1.0
B5,r2,capable_of,1,1.0
B5,r3,capable_of,1,1.0
B6,r1,capable_of,1,1.0
B6,r2,capable_of,1,1.0
B6,r3,capable_of,1,1.0
B7,r1,capable_of,1,1.0
B7,r2,capable_of,1,1.0
B7,r3,capable_of,1,1.0
B8,r1,capable_of,1,1.0
B8,r2,capable_of,1,1.0
B8,r3,capable_of,1,1.0
B9,r1,capable_of,1,1.0
B9,r2,capable_of,1,1.0
B9,r3,capable_of,1,1.0
B10,r1,capable_of,1,1.0
B10,r2,capable_of,1,1.0
B10,r3,capable_of,1,1.0
r1,s1,assigned_to,1,1.0
r2,s2,assigned_to,1,1.0
r3,s1,assigned_to,1,1.0
B1,s1,located_in,1,1.0
B2,s2,located_in,1,1.0
B3,s1,located_in,1,1.0
B4,s2,located_in,1,1.0
B5,s1,located_in,1,1.0
B6,s2,located_in,1,1.0
B7,s1,located_in,1,1.0
B8,s2,located_in,1,1.0
B9,s1,located_in,1,1.0
B10,s2,located_in,1,1.0
