"instance_id","group","seed","env_id","algorithm","output_algorithm","migd","mhv","art","nigd"
"P1_H_01","Small-H","1","1","CI-DMOEA","CI-DMOEA","0.03776768","0.82190606","2.70603515","-0.08202582"
"P1_H_01","Small-H","1","2","CI-DMOEA","CI-DMOEA","0.0378735","0.81917879","2.71361697","-0.08180792"
"P1_H_01","Small-H","1","3","CI-DMOEA","CI-DMOEA","0.03797932","0.81645152","2.72119879","-0.08159001"
"P1_H_01","Small-H","1","4","CI-DMOEA","CI-DMOEA","0.03808514","0.81372424","2.72878061","-0.0813721"
"P1_H_01","Small-H","1","5","CI-DMOEA","CI-DMOEA","0.03819096","0.81099697","2.73636242","-0.08115419"
"P1_H_01","Small-H","1","6","CI-DMOEA","CI-DMOEA","0.03829678","0.8082697","2.74394424","-0.08093628"
"P1_H_01","Small-H","1","7","CI-DMOEA","CI-DMOEA","0.03840259","0.80554242","2.75152606","-0.08071837"
"P1_H_01","Small-H","1","8","CI-DMOEA","CI-DMOEA","0.03850841","0.80281515","2.75910788","-0.08050046"
"P1_H_01","Small-H","1","9","CI-DMOEA","CI-DMOEA","0.03861423","0.80008788","2.7666897","-0.08028255"
"P1_H_01","Small-H","1","10","CI-DMOEA","CI-DMOEA","0.03872005","0.79736061","2.77427152","-0.08006464"
"P1_H_01","Small-H","1","1","DG-DMOEA","DG-DMOEA","0.03455548","0.82930606","3.45554848","-0.067756"
"P1_H_01","Small-H","1","2","DG-DMOEA","DG-DMOEA","0.0346523","0.82657879","3.4652303","-0.067576"
"P1_H_01","Small-H","1","3","DG-DMOEA","DG-DMOEA","0.03474912","0.82385152","3.47491212","-0.067396"
"P1_H_01","Small-H","1","4","DG-DMOEA","DG-DMOEA","0.03484594","0.82112424","3.48459394","-0.067216"
"P1_H_01","Small-H","1","5","DG-DMOEA","DG-DMOEA","0.03494276","0.81839697","3.49427576","-0.067036"
"P1_H_01","Small-H","1","6","DG-DMOEA","DG-DMOEA","0.03503958","0.8156697","3.50395758","-0.066856"
"P1_H_01","Small-H","1","7","DG-DMOEA","DG-DMOEA","0.03513639","0.81294242","3.51363939","-0.066676"
"P1_H_01","Small-H","1","8","DG-DMOEA","DG-DMOEA","0.03523321","0.81021515","3.52332121","-0.066496"
"P1_H_01","Small-H","1","9","DG-DMOEA","DG-DMOEA","0.03533003","0.80748788","3.53300303","-0.066316"
"P1_H_01","Small-H","1","10","DG-DMOEA","DG-DMOEA","0.03542685","0.80476061","3.54268485","-0.066136"
"P1_H_01","Small-H","1","1","SET","SET","0.04380273","0.78120606","1.90785212","-0.0445547"
"P1_H_01","Small-H","1","2","SET","SET","0.04392545","0.77847879","1.91319758","-0.04443634"
"P1_H_01","Small-H","1","3","SET","SET","0.04404818","0.77575152","1.91854303","-0.04431798"
"P1_H_01","Small-H","1","4","SET","SET","0.04417091","0.77302424","1.92388848","-0.04419961"
"P1_H_01","Small-H","1","5","SET","SET","0.04429364","0.77029697","1.92923394","-0.04408125"
"P1_H_01","Small-H","1","6","SET","SET","0.04441636","0.7675697","1.93457939","-0.04396288"
"P1_H_01","Small-H","1","7","SET","SET","0.04453909","0.76484242","1.93992485","-0.04384452"
"P1_H_01","Small-H","1","8","SET","SET","0.04466182","0.76211515","1.9452703","-0.04372616"
