"figure","group","algorithm","output_algorithm","env_id","generation","migd"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","1","0","0.0485388"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","1","1","0.04783977"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","1","2","0.04715532"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","1","3","0.04648591"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","1","4","0.04583207"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","1","5","0.04519439"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","1","6","0.04457349"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","1","7","0.0439701"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","1","8","0.043385"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","1","9","0.0428191"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","1","10","0.04227344"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","1","11","0.04174919"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","1","12","0.04124778"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","1","13","0.04077087"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","1","14","0.04032051"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","1","15","0.03989931"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","1","16","0.03951066"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","1","17","0.03915929"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","1","18","0.03885241"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","1","19","0.03860298"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","1","20","0.0384508"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","2","0","0.0486164"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","2","1","0.04791737"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","2","2","0.04723292"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","2","3","0.04656351"
"fig-convergence","Small-H","CI-DMOEA","CI-DMOEA","2","4","0.04590967"
