"figure","similarity","algorithm","output_algorithm","nigd"
"fig-nigd","H","CI-DMOEA","CI-DMOEA","-0.07525"
"fig-nigd","H","DG-DMOEA","DG-DMOEA","-0.0597"
"fig-nigd","H","SET","SET","-0.037500000000000006"
"fig-nigd","H","KTS-DMOEA","KTS-DMOEA","-0.03265"
"fig-nigd","H","CBT","CBT","-0.06655"
"fig-nigd","H","SMT-DLB","SMT-DLB","-0.08445"
"fig-nigd","M","CI-DMOEA","CI-DMOEA","-0.0514"
"fig-nigd","M","DG-DMOEA","DG-DMOEA","-0.028149999999999998"
"fig-nigd","M","SET","SET","0.0182"
"fig-nigd","M","KTS-DMOEA","KTS-DMOEA","0.00014999999999999996"
"fig-nigd","M","CBT","CBT","-0.0474"
"fig-nigd","M","SMT-DLB","SMT-DLB","-0.06570000000000001"
"fig-nigd","L","CI-DMOEA","CI-DMOEA","-0.01415"
"fig-nigd","L","DG-DMOEA","DG-DMOEA","0.0185"
"fig-nigd","L","SET","SET","0.0634"
"fig-nigd","L","KTS-DMOEA","KTS-DMOEA","0.03805"
"fig-nigd","L","CBT","CBT","-0.016800000000000002"
"fig-nigd","L","SMT-DLB","SMT-DLB","-0.048"

