"figure","group","similarity","algorithm","output_algorithm","mhv","art"
"fig-tradeoff","Small-H","H","CI-DMOEA","CI-DMOEA","0.7953","2.78"
"fig-tradeoff","Small-H","H","DG-DMOEA","DG-DMOEA","0.8027","3.55"
"fig-tradeoff","Small-H","H","SET","SET","0.7546","1.96"
"fig-tradeoff","Small-H","H","KTS-DMOEA","KTS-DMOEA","0.7682","2.49"
"fig-tradeoff","Small-H","H","CBT","CBT","0.7428","1.96"
"fig-tradeoff","Small-H","H","SMT-DLB","SMT-DLB","0.8151","2.24"
"fig-tradeoff","Small-M","M","CI-DMOEA","CI-DMOEA","0.7401","2.95"
"fig-tradeoff","Small-M","M","DG-DMOEA","DG-DMOEA","0.7501","3.78"
"fig-tradeoff","Small-M","M","SET","SET","0.6814","2.16"
"fig-tradeoff","Small-M","M","KTS-DMOEA","KTS-DMOEA","0.7108","2.49"
"fig-tradeoff","Small-M","M","CBT","CBT","0.7229","2.19"
"fig-tradeoff","Small-M","M","SMT-DLB","SMT-DLB","0.7682","2.28"
"fig-tradeoff","Small-L","L","CI-DMOEA","CI-DMOEA","0.6701","3.09"
"fig-tradeoff","Small-L","L","DG-DMOEA","DG-DMOEA","0.6597","4.21"
"fig-tradeoff","Small-L","L","SET","SET","0.6146","2.16"
"fig-tradeoff","Small-L","L","KTS-DMOEA","KTS-DMOEA","0.6339","2.65"
"fig-tradeoff","Small-L","L","CBT","CBT","0.6968","2.26"
"fig-tradeoff","Small-L","L","SMT-DLB","SMT-DLB","0.7148","2.58"
"fig-tradeoff","Large-H","H","CI-DMOEA","CI-DMOEA","0.7775","4.2"
"fig-tradeoff","Large-H","H","DG-DMOEA","DG-DMOEA","0.785","5.3"
"fig-tradeoff","Large-H","H","SET","SET","0.7174","3.22"
"fig-tradeoff","Large-H","H","KTS-DMOEA","KTS-DMOEA","0.7357","3.7"
"fig-tradeoff","Large-H","H","CBT","CBT","0.7071","3.63"
"fig-tradeoff","Large-H","H","SMT-DLB","SMT-DLB","0.8011","3.42"
"fig-tradeoff","Large-M","M","CI-DMOEA","CI-DMOEA","0.702","4.49"
"fig-tradeoff","Large-M","M","DG-DMOEA","DG-DMOEA","0.7146","5.53"
"fig-tradeoff","Large-M","M","SET","SET","0.6553","3.43"
"fig-tradeoff","Large-M","M","KTS-DMOEA","KTS-DMOEA","0.6804","4.06"
"fig-tradeoff","Large-M","M","CBT","CBT","0.684","3.43"
"fig-tradeoff","Large-M","M","SMT-DLB","SMT-DLB","0.7451","3.59"
"fig-tradeoff","Large-L","L","CI-DMOEA","CI-DMOEA","0.606","4.65"
"fig-tradeoff","Large-L","L","DG-DMOEA","DG-DMOEA","0.6304","6.57"
"fig-tradeoff","Large-L","L","SET","SET","0.5682","3.67"
"fig-tradeoff","Large-L","L","KTS-DMOEA","KTS-DMOEA","0.5966","4.33"
"fig-tradeoff","Large-L","L","CBT","CBT","0.6413","3.87"
"fig-tradeoff","Large-L","L","SMT-DLB","SMT-DLB","0.6726","3.7"

