"metric","group","variant","paper_mean"
"migd","Small-H","Full","0.0364"
"migd","Small-H","w/o Memory","0.0381"
"migd","Small-H","w/o Meta","0.0386"
"migd","Small-H","w/o Detect","0.0385"
"migd","Small-M","Full","0.0451"
"migd","Small-M","w/o Memory","0.0475"
"migd","Small-M","w/o Meta","0.049"
"migd","Small-M","w/o Detect","0.049"
"migd","Small-L","Full","0.0615"
"migd","Small-L","w/o Memory","0.0645"
"migd","Small-L","w/o Meta","0.0689"
"migd","Small-L","w/o Detect","0.0678"
"migd","Large-H","Full","0.048"
"migd","Large-H","w/o Memory","0.0535"
"migd","Large-H","w/o Meta","0.0522"
"migd","Large-H","w/o Detect","0.0497"
"migd","Large-M","Full","0.0602"
"migd","Large-M","w/o Memory","0.0635"
"migd","Large-M","w/o Meta","0.0656"
"migd","Large-M","w/o Detect","0.0615"
"migd","Large-L","Full","0.0739"
"migd","Large-L","w/o Memory","0.0767"
"migd","Large-L","w/o Meta","0.0795"
"migd","Large-L","w/o Detect","0.078"
"nigd","Small-H","Full","-0.0858"
"nigd","Small-H","w/o Memory","-0.0632"
"nigd","Small-H","w/o Meta","-0.0544"
"nigd","Small-H","w/o Detect","-0.0274"
"nigd","Small-M","Full","-0.0668"
"nigd","Small-M","w/o Memory","-0.0385"
"nigd","Small-M","w/o Meta","-0.0304"
"nigd","Small-M","w/o Detect","0.0043"
"nigd","Small-L","Full","-0.0507"
"nigd","Small-L","w/o Memory","-0.0316"
"nigd","Small-L","w/o Meta","-0.0145"
"nigd","Small-L","w/o Detect","0.0172"
"nigd","Large-H","Full","-0.0831"
"nigd","Large-H","w/o Memory","-0.0531"
"nigd","Large-H","w/o Meta","-0.0439"
"nigd","Large-H","w/o Detect","-0.024"
"nigd","Large-M","Full","-0.0646"
"nigd","Large-M","w/o Memory","-0.0433"
"nigd","Large-M","w/o Meta","-0.0206"
"nigd","Large-M","w/o Detect","0.0145"
"nigd","Large-L","Full","-0.0453"
"nigd","Large-L","w/o Memory","-0.0195"
"nigd","Large-L","w/o Meta","-0.0058"
"nigd","Large-L","w/o Detect","0.0326"
