"metric","group","algorithm","output_algorithm","paper_mean"
"art","Small-H","CI-DMOEA","CI-DMOEA","2.78"
"art","Small-H","DG-DMOEA","DG-DMOEA","3.55"
"art","Small-H","SET","SET","1.96"
"art","Small-H","KTS-DMOEA","KTS-DMOEA","2.49"
"art","Small-H","CBT","CBT","1.96"
"art","Small-H","SMT-DLB","SMT-DLB","2.24"
"art","Small-M","CI-DMOEA","CI-DMOEA","2.95"
"art","Small-M","DG-DMOEA","DG-DMOEA","3.78"
"art","Small-M","SET","SET","2.16"
"art","Small-M","KTS-DMOEA","KTS-DMOEA","2.49"
"art","Small-M","CBT","CBT","2.19"
"art","Small-M","SMT-DLB","SMT-DLB","2.28"
"art","Small-L","CI-DMOEA","CI-DMOEA","3.09"
"art","Small-L","DG-DMOEA","DG-DMOEA","4.21"
"art","Small-L","SET","SET","2.16"
"art","Small-L","KTS-DMOEA","KTS-DMOEA","2.65"
"art","Small-L","CBT","CBT","2.26"
"art","Small-L","SMT-DLB","SMT-DLB","2.58"
"art","Large-H","CI-DMOEA","CI-DMOEA","4.2"
"art","Large-H","DG-DMOEA","DG-DMOEA","5.3"
"art","Large-H","SET","SET","3.22"
"art","Large-H","KTS-DMOEA","KTS-DMOEA","3.7"
"art","Large-H","CBT","CBT","3.63"
"art","Large-H","SMT-DLB","SMT-DLB","3.42"
"art","Large-M","CI-DMOEA","CI-DMOEA","4.49"
"art","Large-M","DG-DMOEA","DG-DMOEA","5.53"
"art","Large-M","SET","SET","3.43"
"art","Large-M","KTS-DMOEA","KTS-DMOEA","4.06"
"art","Large-M","CBT","CBT","3.43"
"art","Large-M","SMT-DLB","SMT-DLB","3.59"
"art","Large-L","CI-DMOEA","CI-DMOEA","4.65"
"art","Large-L","DG-DMOEA","DG-DMOEA","6.57"
"art","Large-L","SET","SET","3.67"
"art","Large-L","KTS-DMOEA","KTS-DMOEA","4.33"
"art","Large-L","CBT","CBT","3.87"
"art","Large-L","SMT-DLB","SMT-DLB","3.7"

