"metric","group","algorithm","output_algorithm","paper_mean"
"mhv","Small-H","CI-DMOEA","CI-DMOEA","0.7953"
"mhv","Small-H","DG-DMOEA","DG-DMOEA","0.8027"
"mhv","Small-H","SET","SET","0.7546"
"mhv","Small-H","KTS-DMOEA","KTS-DMOEA","0.7682"
"mhv","Small-H","CBT","CBT","0.7428"
"mhv","Small-H","SMT-DLB","SMT-DLB","0.8151"
"mhv","Small-M","CI-DMOEA","CI-DMOEA","0.7401"
"mhv","Small-M","DG-DMOEA","DG-DMOEA","0.7501"
"mhv","Small-M","SET","SET","0.6814"
"mhv","Small-M","KTS-DMOEA","KTS-DMOEA","0.7108"
"mhv","Small-M","CBT","CBT","0.7229"
"mhv","Small-M","SMT-DLB","SMT-DLB","0.7682"
"mhv","Small-L","CI-DMOEA","CI-DMOEA","0.6701"
"mhv","Small-L","DG-DMOEA","DG-DMOEA","0.6597"
"mhv","Small-L","SET","SET","0.6146"
"mhv","Small-L","KTS-DMOEA","KTS-DMOEA","0.6339"
"mhv","Small-L","CBT","CBT","0.6968"
"mhv","Small-L","SMT-DLB","SMT-DLB","0.7148"
"mhv","Large-H","CI-DMOEA","CI-DMOEA","0.7775"
"mhv","Large-H","DG-DMOEA","DG-DMOEA","0.785"
"mhv","Large-H","SET","SET","0.7174"
"mhv","Large-H","KTS-DMOEA","KTS-DMOEA","0.7357"
"mhv","Large-H","CBT","CBT","0.7071"
"mhv","Large-H","SMT-DLB","SMT-DLB","0.8011"
"mhv","Large-M","CI-DMOEA","CI-DMOEA","0.702"
"mhv","Large-M","DG-DMOEA","DG-DMOEA","0.7146"
"mhv","Large-M","SET","SET","0.6553"
"mhv","Large-M","KTS-DMOEA","KTS-DMOEA","0.6804"
"mhv","Large-M","CBT","CBT","0.684"
"mhv","Large-M","SMT-DLB","SMT-DLB","0.7451"
"mhv","Large-L","CI-DMOEA","CI-DMOEA","0.606"
"mhv","Large-L","DG-DMOEA","DG-DMOEA","0.6304"
"mhv","Large-L","SET","SET","0.5682"
"mhv","Large-L","KTS-DMOEA","KTS-DMOEA","0.5966"
"mhv","Large-L","CBT","CBT","0.6413"
"mhv","Large-L","SMT-DLB","SMT-DLB","0.6726"

