"metric","group","algorithm","output_algorithm","paper_mean"
"migd","Small-H","CI-DMOEA","CI-DMOEA","0.0388"
"migd","Small-H","DG-DMOEA","DG-DMOEA","0.0355"
"migd","Small-H","SET","SET","0.045"
"migd","Small-H","KTS-DMOEA","KTS-DMOEA","0.0431"
"migd","Small-H","CBT","CBT","0.0464"
"migd","Small-H","SMT-DLB","SMT-DLB","0.0364"
"migd","Small-M","CI-DMOEA","CI-DMOEA","0.0513"
"migd","Small-M","DG-DMOEA","DG-DMOEA","0.0502"
"migd","Small-M","SET","SET","0.0619"
"migd","Small-M","KTS-DMOEA","KTS-DMOEA","0.0573"
"migd","Small-M","CBT","CBT","0.0556"
"migd","Small-M","SMT-DLB","SMT-DLB","0.0451"
"migd","Small-L","CI-DMOEA","CI-DMOEA","0.068"
"migd","Small-L","DG-DMOEA","DG-DMOEA","0.0696"
"migd","Small-L","SET","SET","0.0814"
"migd","Small-L","KTS-DMOEA","KTS-DMOEA","0.0774"
"migd","Small-L","CBT","CBT","0.0636"
"migd","Small-L","SMT-DLB","SMT-DLB","0.0615"
"migd","Large-H","CI-DMOEA","CI-DMOEA","0.0533"
"migd","Large-H","DG-DMOEA","DG-DMOEA","0.0521"
"migd","Large-H","SET","SET","0.0632"
"migd","Large-H","KTS-DMOEA","KTS-DMOEA","0.0606"
"migd","Large-H","CBT","CBT","0.065"
"migd","Large-H","SMT-DLB","SMT-DLB","0.048"
"migd","Large-M","CI-DMOEA","CI-DMOEA","0.068"
"migd","Large-M","DG-DMOEA","DG-DMOEA","0.0678"
"migd","Large-M","SET","SET","0.0809"
"migd","Large-M","KTS-DMOEA","KTS-DMOEA","0.0742"
"migd","Large-M","CBT","CBT","0.069"
"migd","Large-M","SMT-DLB","SMT-DLB","0.0602"
"migd","Large-L","CI-DMOEA","CI-DMOEA","0.09"
"migd","Large-L","DG-DMOEA","DG-DMOEA","0.0941"
"migd","Large-L","SET","SET","0.1025"
"migd","Large-L","KTS-DMOEA","KTS-DMOEA","0.0988"
"migd","Large-L","CBT","CBT","0.0837"
"migd","Large-L","SMT-DLB","SMT-DLB","0.0739"

