"metric","group","algorithm","output_algorithm","paper_mean"
"nigd","Small-H","CI-DMOEA","CI-DMOEA","-0.0799"
"nigd","Small-H","DG-DMOEA","DG-DMOEA","-0.066"
"nigd","Small-H","SET","SET","-0.0434"
"nigd","Small-H","KTS-DMOEA","KTS-DMOEA","-0.0337"
"nigd","Small-H","CBT","CBT","-0.0689"
"nigd","Small-H","SMT-DLB","SMT-DLB","-0.0858"
"nigd","Small-M","CI-DMOEA","CI-DMOEA","-0.0576"
"nigd","Small-M","DG-DMOEA","DG-DMOEA","-0.0331"
"nigd","Small-M","SET","SET","0.0149"
"nigd","Small-M","KTS-DMOEA","KTS-DMOEA","-0.0082"
"nigd","Small-M","CBT","CBT","-0.0493"
"nigd","Small-M","SMT-DLB","SMT-DLB","-0.0668"
"nigd","Small-L","CI-DMOEA","CI-DMOEA","-0.0183"
"nigd","Small-L","DG-DMOEA","DG-DMOEA","0.0146"
"nigd","Small-L","SET","SET","0.0541"
"nigd","Small-L","KTS-DMOEA","KTS-DMOEA","0.0318"
"nigd","Small-L","CBT","CBT","-0.0211"
"nigd","Small-L","SMT-DLB","SMT-DLB","-0.0507"
"nigd","Large-H","CI-DMOEA","CI-DMOEA","-0.0706"
"nigd","Large-H","DG-DMOEA","DG-DMOEA","-0.0534"
"nigd","Large-H","SET","SET","-0.0316"
"nigd","Large-H","KTS-DMOEA","KTS-DMOEA","-0.0316"
"nigd","Large-H","CBT","CBT","-0.0642"
"nigd","Large-H","SMT-DLB","SMT-DLB","-0.0831"
"nigd","Large-M","CI-DMOEA","CI-DMOEA","-0.0452"
"nigd","Large-M","DG-DMOEA","DG-DMOEA","-0.0232"
"nigd","Large-M","SET","SET","0.0215"
"nigd","Large-M","KTS-DMOEA","KTS-DMOEA","0.0085"
"nigd","Large-M","CBT","CBT","-0.0455"
"nigd","Large-M","SMT-DLB","SMT-DLB","-0.0646"
"nigd","Large-L","CI-DMOEA","CI-DMOEA","-0.01"
"nigd","Large-L","DG-DMOEA","DG-DMOEA","0.0224"
"nigd","Large-L","SET","SET","0.0727"
"nigd","Large-L","KTS-DMOEA","KTS-DMOEA","0.0443"
"nigd","Large-L","CBT","CBT","-0.0125"
"nigd","Large-L","SMT-DLB","SMT-DLB","-0.0453"

